,Overall - Female,,,,,,,,,,,
Place,Name,Team name,Team name 2,Gender,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total points
1,Sofia Gomez Villafane,,,Female,35,35,35,35,33,(0),(12),173
2,Alexis Skarda,,,Female,34,(0),(29),33,34,34,32,167
3,Haley Smith,,,Female,33,31,33,31,32,(0),(30),160
4,Sarah Sturm,,,Female,32,34,31,29,(27),(25),31,157
5,Lauren De Crescenzo,,,Female,(18),(0),34,24,28,35,35,156
6,Jenna Rinehart,,,Female,31,(0),(21),28,30,27,33,149
7,Paige Onweller,,,Female,(21),(0),32,25,25,32,34,148
8,Crystal Anthony,,,Female,29,(0),24,30,26,33,(13),142
9,Hannah Otto,,,Female,30,(0),25,32,31,(0),17,135
10,Deanna Mayles,,,Female,24,(0),26,(23),29,29,25,133
11,Ellen Campbell,,,Female,25,23,22,27,(20),30,(20),127
12,Caroline Tory,,,Female,23,27,(17),21,(0),28,26,125
13,Sarah Max,,,Female,22,26,27,(17),(19),26,23,124
14,Heather Jackson,,,Female,19,22,(0),22,(0),31,28,122
15,Emily Newsom,,,Female,26,(0),28,13,(0),24,27,118
16,Emma Grant,,,Female,(0),24,23,15,(0),21,29,112
17,Angela Naeth,,,Female,(0),28,18,(14),17,15,21,99
17,Ruth Edwards,,,Female,0,0,30,34,35,(0),(0),99
17,Anna Yamauchi,,,Female,(0),17,(0),26,22,19,15,99
20,Maude Farrell,,,Female,28,0,20,(0),24,(0),24,96
21,Danni Shrosbree,,,Female,11,33,8,(0),(0),18,22,92
22,Isabel King,,,Female,13,25,(10),(0),18,22,11,89
23,Leah Van Der Linden,,,Female,20,30,19,16,0,(0),(0),85
24,Ella Bloor,,,Female,27,(0),14,7,15,20,(6),83
24,Chelsea Bolton,,,Female,15,(0),16,19,(0),23,10,83
26,Caroline Mani,,,Female,16,20,9,18,(0),(0),18,81
27,Rebecca Fahringer,,,Female,10,32,0,10,23,(0),(0),75
27,Catherine Colyn,,,Female,0,(0),15,20,21,(0),19,75
29,Hannah Shell,,,Female,(8),19,(0),12,12,17,14,74
30,Julie Momber,,,Female,12,16,12,(11),16,(0),16,72
31,Jessica Mullins,,,Female,14,15,(0),9,13,16,(9),67
32,Holly Mathews,,,Female,6,29,13,8,0,(0),(0),56
33,Starla Teddergreen,,,Female,9,21,0,(0),14,(0),8,52
34,Raylyn Nuss,,,Female,17,18,11,0,0,(0),(0),46
35,Isabella Hyser,,,Female,7,14,(0),6,11,(0),7,45
,,,,,,,,,,,,
,Overall - Male,,,,,,,,,,,
Place,Name,Team name,Team name 2,Gender,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total points
1,Keegan Swenson,,,Male,35,35,35,35,34,(0),(33),174
2,Alexey Vermeulen,,,Male,(15),28,(28),34,35,35,34,166
3,Cole Paton,,,Male,33,(17),31,33,33,(20),32,162
4,Russell Finsterwald,,,Male,34,33,27,30,(20),30,(23),154
5,Lachlan Morton,,,Male,(22),34,32,28,(15),32,27,153
6,Peter Stetina,,,Male,(17),32,34,22,24,34,(16),146
7,Brendan Johnston,,,Male,30,(0),(10),21,25,33,35,144
8,Alex Howes,,,Male,20,(20),(18),26,30,31,28,135
9,Howard Grotts,,,Male,29,(18),19,32,23,(16),29,132
10,Zach Calton,,,Male,19,30,(14),31,29,19,(19),128
10,Konny Looser,,,Male,32,27,22,(0),27,(10),20,128
12,Payson McElveen,,,Male,(0),(0),26,27,32,9,26,120
13,Kyle Trudeau,,,Male,23,23,23,(0),(0),25,24,118
14,Matthew Beers,,,Male,0,29,33,(0),26,28,(0),116
15,Lance Haidet,,,Male,21,(0),21,(0),28,29,14,113
16,Dylan Johnson,,,Male,(14),25,(15),23,21,22,21,112
17,Tasman Nankervis,,,Male,(0),(13),17,15,17,26,30,105
18,Nathan Spratt,,,Male,(9),(0),30,11,12,27,22,102
18,Bradyn Lange,,,Male,28,0,29,30,(0),(0),15,102
20,Logan Owen,,,Male,0,(0),25,24,31,21,(0),101
21,Ian Lopez De San Roman,,,Male,18,(0),20,(16),19,18,25,100
22,Andrew L'Esperance,,,Male,31,(0),(0),17,22,15,13,98
23,Jack Odron,,,Male,12,22,16,25,(5),17,(0),92
24,John Borstelmann,,,Male,13,12,9,(8),(6),24,31,89
25,Kerry Werner,,,Male,26,21,(0),9,14,(8),18,88
26,Ryan Standish,,,Male,24,15,(0),19,18,11,(10),87
27,Tobin Ortenblad,,,Male,27,24,(8),13,10,(0),11,85
28,Griffin Easter,,,Male,(8),16,24,14,13,13,(9),80
29,Eric Brunner,,,Male,(0),(0),12,10,11,23,17,73
30,Brennan Wertz,,,Male,(10),(0),11,18,16,12,12,69
31,Adam Roberge,,,Male,16,31,13,0,8,(0),(0),68
32,Taylor Lideen,,,Male,25,(0),(0),12,9,14,7,67
33,Robert Britton,,,Male,0,26,0,20,0,(0),(0),46
34,Kiel Reijnen,,,Male,(0),14,7,7,7,(0),8,43
35,Innokenty Zavyalov,,,Male,11,19,0,0,0,(0),(0),30
